|A|B|C|D|E|F|G|H|I|
| 144799 |         poprun         |   4s   |   janel    | 1  | 1330MHz  | 31.6 C | 27.0 C |146.5 W |
| 144799 |         poprun         |   4s   |   janel    | 6  | 1330MHz  | 36.9 C | 27.0 C |148.2 W |
| 144799 |         poprun         |   4s   |   janel    | 8  | 1330MHz  | 34.0 C | 27.0 C |155.4 W |
| 144799 |         poprun         |   4s   |   janel    | 13 | 1330MHz  | 34.1 C | 27.1 C |153.8 W |
| 144799 |         poprun         |   4s   |   janel    | 18 | 1330MHz  | 39.1 C | 26.6 C |150.6 W |
| 144799 |         poprun         |   4s   |   janel    | 20 | 1330MHz  | 35.2 C | 26.8 C |150.0 W |
| 144799 |         poprun         |   4s   |   janel    | 24 | 1330MHz  | 34.2 C | 26.9 C |152.8 W |
| 144799 |         poprun         |   4s   |   janel    | 28 | 1330MHz  | 36.6 C | 26.8 C |154.5 W |
| 144799 |         poprun         |   4s   |   janel    | 33 | 1330MHz  | 35.3 C | 27.4 C |153.5 W |
| 144799 |         poprun         |   4s   |   janel    | 36 | 1330MHz  | 35.1 C | 27.3 C |159.4 W |
| 144799 |         poprun         |   3s   |   janel    | 40 | 1330MHz  | 35.8 C | 26.7 C |147.9 W |
| 144799 |         poprun         |   3s   |   janel    | 44 | 1330MHz  | 37.0 C | 27.1 C |151.8 W |
| 144799 |         poprun         |   3s   |   janel    | 49 | 1330MHz  | 32.6 C | 27.0 C |155.3 W |
| 144799 |         poprun         |   3s   |   janel    | 52 | 1330MHz  | 36.5 C | 26.7 C |153.9 W |
| 144799 |         poprun         |   3s   |   janel    | 56 | 1330MHz  | 35.4 C | 26.8 C |144.1 W |
| 144799 |         poprun         |   3s   |   janel    | 60 | 1330MHz  | 36.3 C | 27.5 C |160.8 W |
| 144799 |         poprun         |   4s   |   janel    | 0  | 1330MHz  | 34.2 C | 27.0 C |146.2 W |
| 144799 |         poprun         |   4s   |   janel    | 4  | 1330MHz  | 37.2 C | 27.0 C |148.6 W |
| 144799 |         poprun         |   4s   |   janel    | 8  | 1330MHz  | 34.0 C | 27.0 C |155.6 W |
| 144799 |         poprun         |   4s   |   janel    | 12 | 1330MHz  | 35.4 C | 27.1 C |153.6 W |
| 144799 |         poprun         |   4s   |   janel    | 16 | 1330MHz  | 35.9 C | 26.6 C |150.9 W |
| 144799 |         poprun         |   5s   |   janel    | 20 | 1330MHz  | 35.1 C | 26.8 C |149.9 W |
| 144799 |         poprun         |   5s   |   janel    | 24 | 1330MHz  | 34.1 C | 26.9 C |152.7 W |
| 144799 |         poprun         |   5s   |   janel    | 28 | 1330MHz  | 36.6 C | 26.8 C |154.5 W |
| 144799 |         poprun         |   5s   |   janel    | 32 | 1330MHz  | 36.6 C | 27.4 C |153.8 W |
| 144799 |         poprun         |   5s   |   janel    | 36 | 1330MHz  | 35.2 C | 27.3 C |159.4 W |
| 144799 |         poprun         |   5s   |   janel    | 40 | 1330MHz  | 35.7 C | 26.7 C |148.3 W |
| 144799 |         poprun         |   5s   |   janel    | 44 | 1330MHz  | 36.9 C | 27.1 C |151.5 W |
| 144799 |         poprun         |   5s   |   janel    | 48 | 1330MHz  | 35.2 C | 27.0 C |155.3 W |
| 144799 |         poprun         |   5s   |   janel    | 52 | 1330MHz  | 36.3 C | 26.7 C |154.2 W |
| 144799 |         poprun         |   5s   |   janel    | 56 | 1330MHz  | 35.6 C | 26.8 C |144.2 W |
| 144799 |         poprun         |   5s   |   janel    | 60 | 1330MHz  | 36.3 C | 27.5 C |160.4 W |
| 144799 |         poprun         |   6s   |   janel    | 0  | 1330MHz  | 34.2 C | 27.0 C |146.5 W |
| 144799 |         poprun         |   6s   |   janel    | 4  | 1330MHz  | 37.2 C | 27.0 C |148.2 W |
| 144799 |         poprun         |   6s   |   janel    | 8  | 1330MHz  | 34.0 C | 27.0 C |155.8 W |
| 144799 |         poprun         |   6s   |   janel    | 12 | 1330MHz  | 35.5 C | 27.1 C |154.2 W |
| 144799 |         poprun         |   6s   |   janel    | 16 | 1330MHz  | 36.1 C | 26.6 C |150.6 W |
| 144799 |         poprun         |   6s   |   janel    | 20 | 1330MHz  | 35.1 C | 26.8 C |149.5 W |
| 144799 |         poprun         |   6s   |   janel    | 24 | 1330MHz  | 34.1 C | 26.9 C |152.7 W |
| 144799 |         poprun         |   6s   |   janel    | 28 | 1330MHz  | 36.8 C | 26.8 C |155.1 W |
| 144799 |         poprun         |   6s   |   janel    | 32 | 1330MHz  | 36.6 C | 27.3 C |152.8 W |
| 144799 |         poprun         |   6s   |   janel    | 36 | 1330MHz  | 35.2 C | 27.3 C |158.6 W |
| 144799 |         poprun         |   6s   |   janel    | 40 | 1330MHz  | 35.8 C | 26.7 C |147.8 W |
| 144799 |         poprun         |   6s   |   janel    | 44 | 1330MHz  | 37.1 C | 27.1 C |151.6 W |
| 144799 |         poprun         |   6s   |   janel    | 48 | 1330MHz  | 35.3 C | 27.0 C |154.3 W |
| 144799 |         poprun         |   7s   |   janel    | 52 | 1330MHz  | 36.5 C | 26.7 C |153.5 W |
| 144799 |         poprun         |   7s   |   janel    | 56 | 1330MHz  | 35.4 C | 26.8 C |144.0 W |
| 144799 |         poprun         |   7s   |   janel    | 60 | 1330MHz  | 36.5 C | 27.5 C |161.3 W |
